id|context|template|scrambledWords|correctSentence|distractor|difficulty
ms-1|What is your favorite subject?|My favorite subject is _____ _____ _____ _____ _____ .|["math","because","it","is","fun"]|My favorite subject is math because it is fun.|learning|Middle School
ms-2|What time do you wake up?|I usually wake up _____ _____ _____ _____ _____ .|["at","seven","in","the","morning"]|I usually wake up at seven in the morning.|early|Middle School
ms-3|Where do you live?|I live in a _____ _____ _____ _____ _____ .|["small","house","near","the","park"]|I live in a small house near the park.|staying|Middle School
ms-4|What did you eat for lunch?|I ate a sandwich _____ _____ _____ _____ _____ .|["and","an","apple","for","lunch"]|I ate a sandwich and an apple for lunch.|eating|Middle School
ms-5|Do you have any pets?|Yes I have a _____ _____ _____ _____ _____ .|["dog","who","loves","to","run","fast"]|Yes I have a dog who loves to run fast.|cat|Middle School
ms-6|What are you doing now?|I am studying English _____ _____ _____ _____ _____ .|["for","my","big","test","tomorrow"]|I am studying English for my big test tomorrow.|making|Middle School
ms-7|How do you go to school?|I go to school _____ _____ _____ _____ _____ .|["by","bus","every","single","day"]|I go to school by bus every single day.|walking|Middle School
ms-8|What is your mother's job?|My mother works as _____ _____ _____ _____ _____ .|["a","nurse","at","the","hospital"]|My mother works as a nurse at the hospital.|teaching|Middle School
ms-9|What is your hobby?|My hobby is reading _____ _____ _____ _____ _____ .|["books","in","my","free","time"]|My hobby is reading books in my free time.|playing|Middle School
ms-10|Can you swim?|Yes I can swim _____ _____ _____ _____ _____ .|["very","well","in","the","pool"]|Yes I can swim very well in the pool.|ocean|Middle School
ms-11|Is the library open?|The library is open _____ _____ _____ _____ _____ .|["from","nine","to","five","today"]|The library is open from nine to five today.|closed|Middle School
ms-12|What color is your bag?|My new school bag _____ _____ _____ _____ _____ .|["is","bright","blue","and","very","light"]|My new school bag is bright blue and very light.|heavy|Middle School
ms-13|Do you like sports?|I like to play _____ _____ _____ _____ _____ .|["soccer","with","my","friends","after","school"]|I like to play soccer with my friends after school.|cooking|Middle School
